framework,precision,seq_len,vocab_size,depth,width,num_heads,mlp_ratio,dropout,attention_variant,steps,batch_size,num_threads,inter_op_threads,pin_threads,loss_last,durations,sysinfo,mean_step_time,p95_step_time
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,1,,False,2.4668424129486084,"[0.05142855644226074, 0.04002022743225098, 0.03890371322631836, 0.04036545753479004, 0.037909746170043945, 0.04031825065612793, 0.03940224647521973, 0.03967547416687012, 0.03938126564025879, 0.03953981399536133]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",0.040694475173950195,0.04645016193389891
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,1,,True,2.5620310306549072,"[0.0630192756652832, 0.038342952728271484, 0.03955197334289551, 0.03913545608520508, 0.03960299491882324, 0.038820505142211914, 0.040515899658203125, 0.03892850875854492, 0.039986371994018555, 0.038446664810180664]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",0.04163506031036377,0.052892756462097144
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,2,,False,2.5620310306549072,"[4.683075428009033, 4.372466087341309, 4.378808259963989, 4.388931035995483, 4.38457179069519, 4.392686128616333, 4.37858772277832, 4.393447637557983, 4.37864351272583, 4.391272068023682]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",4.414248967170716,4.55274292230606
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,2,,True,2.5620310306549072,"[0.4051220417022705, 0.02488112449645996, 0.022655963897705078, 0.024477243423461914, 0.023793935775756836, 0.023944377899169922, 0.024187088012695312, 0.0240633487701416, 0.025661706924438477, 0.023344039916992188]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",0.06221308708190918,0.2343648910522457
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,3,,False,2.562030553817749,"[4.63744592666626, 4.348746061325073, 4.312350034713745, 4.341825246810913, 4.377217769622803, 4.336503744125366, 4.348907232284546, 4.344763278961182, 4.364417791366577, 4.361170053482056]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",4.377334713935852,4.520343255996703
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,3,,True,2.562030553817749,"[4.657317638397217, 4.34160852432251, 4.368824481964111, 4.3848876953125, 4.371549606323242, 4.378987073898315, 4.369003772735596, 4.360403299331665, 4.361211538314819, 4.364904880523682]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",4.395869851112366,4.534724164009094
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,4,,False,2.5620310306549072,"[4.714308023452759, 4.369259834289551, 4.385172128677368, 4.371139764785767, 4.384106397628784, 4.384495735168457, 4.383469581604004, 4.384580612182617, 4.382281541824341, 4.380411624908447]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",4.413922524452209,4.566196870803832
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,4,,True,2.5620310306549072,"[4.673701763153076, 4.3884899616241455, 4.382396459579468, 4.3834686279296875, 4.384720802307129, 4.384978532791138, 4.3903539180755615, 4.385375261306763, 4.378443717956543, 4.3847198486328125]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",4.4136648893356325,4.546195232868194
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,5,,False,2.562030553817749,"[5.044236183166504, 4.719699859619141, 4.725642681121826, 4.730332851409912, 4.732014179229736, 4.720646142959595, 4.721410274505615, 4.726612329483032, 4.723219394683838, 4.724854230880737]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",4.756866812705994,4.903736281394958
torch,fp32,128,257,2,256,4,4.0,0.0,full,10,2,5,,True,2.562030553817749,"[5.0425238609313965, 4.718883275985718, 4.730093479156494, 4.732593774795532, 4.732428073883057, 4.731565713882446, 4.729757070541382, 4.732445240020752, 4.720626592636108, 4.7326500415802]","{""cpu_count_logical"": 16, ""cpu_count_physical"": 16, ""cpu_freq"": {""current"": 2396.4000000000005, ""min"": 0.0, ""max"": 0.0}, ""cpu_model"": ""AMD EPYC 9654 96-Core Processor"", ""cpu_flags"": ""fpu vme de pse tsc msr pae mce cx8 apic sep mtrr pge mca cmov pat pse36 clflush mmx fxsr sse sse2 syscall nx mmxext fxsr_opt pdpe1gb rdtscp lm rep_good nopl cpuid extd_apicid tsc_known_freq pni pclmulqdq ssse3 fma cx16 pcid sse4_1 sse4_2 x2apic movbe popcnt tsc_deadline_timer aes xsave avx f16c rdrand hypervisor lahf_lm cmp_legacy svm cr8_legacy abm sse4a misalignsse 3dnowprefetch osvw perfctr_core invpcid_single ssbd ibrs ibpb stibp ibrs_enhanced vmmcall fsgsbase tsc_adjust bmi1 avx2 smep bmi2 erms invpcid avx512f avx512dq rdseed adx smap avx512ifma clflushopt clwb avx512cd sha_ni avx512bw avx512vl xsaveopt xsavec xgetbv1 xsaves avx512_bf16 clzero xsaveerptr wbnoinvd arat npt lbrv nrip_save tsc_scale vmcb_clean flushbyasid pausefilter pfthreshold v_vmsave_vmload vgif avx512vbmi umip pku ospke avx512_vbmi2 gfni vaes vpclmulqdq avx512_vnni avx512_bitalg avx512_vpopcntdq la57 rdpid fsrm flush_l1d arch_capabilities"", ""memory_gb"": 62.79, ""memory_bytes"": 67420610560, ""platform"": {""sysname"": ""Linux"", ""nodename"": ""melodic-viper-of-election"", ""release"": ""5.15.0-161-generic"", ""version"": ""#171-Ubuntu SMP Sat Oct 11 08:17:01 UTC 2025"", ""machine"": ""x86_64""}}",4.760356712341308,4.903080642223358
